id,ax,ay,az,gx,gy,gz,temp
1,10716,280,13164,49,383,-99,42.8
2,10660,396,13240,48,426,-93,42.8
3,10660,336,13212,53,369,-89,42.6
4,10676,328,13296,82,423,-91,42.6
5,10716,324,13188,50,406,-76,42.6
6,10712,280,13260,35,362,-84,42.8
7,10676,300,13288,38,448,-92,42.5
8,10740,372,13236,60,383,-125,42.8
9,10684,300,13284,32,378,-64,42.5
10,10656,348,13256,43,428,-103,42.6
11,10676,372,13240,46,409,-82,42.7
12,10660,336,13180,22,359,-61,42.6
13,10664,272,13164,39,432,-83,42.8
14,10672,364,13244,46,413,-85,42.6
